Резюме,Профессия,Обязанности,predict
2,начальник репродуктора,"• Контроль всей деятельностей участков осеменение и ожидание, опорос 

• Планирование и контроль поступления ремонтных свинок, отчёт о полученном поголовье (оценка)

• Планирование планового осеменения ремонтного поголовья

• Контроль за нормами кормления и содержания для разных групп животных

• Организация работы по искусственному осеменению, контроль на стадии ожидания

• Зоотехнический и ветеринарный контроль за площадкой 

• Расстановка персонала по местам, контроль за соблюдением технологического процесса, сопряженность операций, правильность ведения рабочего времени, обучение теоретическим основам и практическим навыкам

• Составление еженедельных производственных отчетов, составление презентации о проделанной работе за квартал, составление еженедельных заявок корма и семени, имущества инженерной службы

• Ведение работы по сохранности поголовья 

•Отслеживания выполнения всех производственных показателей 

• За время работы были достигнуты и удержаны следующие показатели участка «Воспроизводства»:

Деловой опорос (общ),%- 89

Потеря супоросности на ожидании (общ),%- 4

Эффективность осеменения (общ),%- 92

• Сертификат за успешное прохождение модульной программы ""производственный менеджмент""

• Совмещение должности ветеринарного врача
• Сертификат за успешное прохождение тренинга в Академии SKOV",начальник инструментального отдела
2,начальник участка откорма и доращивания,"Контроль всей деятельности участка доращиваете и откорм

За время работы были снижены и удержаны следующие показатели:

• процент падежа по закрытым группам

• падеж текущий",начальник цеха (участка)
2,вакцинатор,Иммунологическая кастрация хряков,"директор (генеральный директор, управляющий) предприятия"
2,начальник участка,"• Контроль всей деятельностей участков карантин (адаптация), осеменение и ожидание, с общим поголовьем- 4500

• Контроль деятельности на участке опорос (во время отпуска начальника участка опорос)

• Планирование и контроль поступления ремонтных свинок, отчёт о полученном поголовье (оценка)

• Планирование планового осеменения ремонтного поголовья

• Контроль за нормами кормления и содержания для разных групп животных

• Организация работы по искусственному осеменению, проверка качества семени, выявление охоты, выявление супоросности (работа с УЗИ- сканером), контроль на стадии ожидания

• Разработка апробации схем осеменения, апробация различных методов осеменения, апробация и внедрение различных материалов для искусственного осеменения

• Зоотехнический и ветеринарный контроль за площадкой 

• Расстановка персонала по местам, контроль за соблюдением технологического процесса, сопряженность операций, правильность ведения рабочего времени, обучение теоретическим основам и практическим навыкам

• Составление еженедельных производственных отчетов, составление презентации о проделанной работе за квартал, составление еженедельных заявок корма и семени, имущества инженерной службы

• За время работы были достигнуты и удержаны следующие показатели участка «Воспроизводства»:

Деловой опорос (общ),%- 89

Потеря супоросности на ожидании (общ),%- 4

Эффективность осеменения (общ),%- 93",начальник цеха (участка)
2,учетчик,"• Работа с первичной документацией

• Ведение всей документации на участках Репродуктор, Доращивание, Откорм (движение поголовья, отчеты в бухгалтерский отдел, отчеты экономический отдел)

• Подготовка сопроводительных документов 

• Принимала активное участие при переходе ГК с генетики DanBred на Pic. Благодаря внимательности и усидчивости ошибок при переносе базы данных из Agrosoft в PigChamp на моем свиноводческом комплексе не было

• Ведение учёта с общим количеством поголовья - 5700

• Проведение ежемесячной ревизии поголовья 

• Зарекомендовала себя как уверенный, ответственный, исполнительный специалист, в связи с чем была приглашена на должность начальника участка",учетчик
3,старший агроном,"Составление планов работ(сезонных работ, дневные планы, планы по закладке маточников ягодных и плодовых культур, планы химической обработки растений от вредителей и болезней, внесение удобрений предпосадочная и подкормка, планы выкопки посадочного материала, планы поливов) 

Составление проекта по закладке полей питомника и рационального использования площади питомника для получения материальной помощи хозяйства.

Составление и замер полей питомника с последующим учетом культур на полях.

Контроль и учет отправки и приема посадочного материала с полей питомника.

Контроль выкорчевки и обрезки поврежденных деревьев в маточнике плодовых культур.

Контроль закладки новых маточных деревьев( контроль нарезки борозд и лунок с внесением минеральных и органических удобрений)

Контроль и расчет химических обработок( выбор препаратов и норм обработок, расчет норм внесения минеральных и органических удобрений).

Самостоятельная химическая обработка декоративных культур.

Подсчет и учет растений на полях питомника.

Взаимодействие с контролирующими органами Россельхознадзора при проведении проверок(  раставление ловушек-приманок и их снятие, предоставление отчетной информации о возделываемой площади, площади отведенной под группы культур)",агроном
4,механизатор,культивация вспашка боронование обслуживание и ремонт с.х техники погузка зерна на телескопическом погрузщике,механизатор (докер - механизатор) комплексной бригады на погрузочно-разгрузочных работах
4,механизатор-эксковаторщик,"копка котлованов,прудов,прокладка газопровода расчистка дорог",механизатор (докер - механизатор) комплексной бригады на погрузочно-разгрузочных работах
5,директор по агропроизводству,"Планирование потребности и распределение по подразделениям семян, СЗР, удобрений.Заключение договоров, работа с поставщиками. Составления плана проведения работ. Управление и контроль за технологическим процессом.",директор типографии
5,главный технолог,"Разработка технологических процессов, планирование бюджета,контроль выполнения технологических операций.",главный технолог
5,главный агроном,"Выращивание зерновых, кормовых культур и подсолнечника. Составление и разработка технологий производства с/х культур. Работа с пестицидами. Настройка и регулировка с/х машин в поле. Большой опыт в области производства и подготовки семенного материала зерновых культур, подсолнечника и многолетних трав. Умение работать с литературой. Опыт работы с персоналом. Составление отчётности, рабочих планов.",главный агроном
6,агроном,"Выращивание картофеля, хранение овощей, кормопроизводство.По урожайности картофеля ЗАО Куликово занимает первые строчки по России.",агроном
6,агроном,"Озеленение ,ландшафтное устройство с начала строительства до сдачи объекта. Имею изобретение по борьбе с сорняками на газонах.",агроном
6,"главный агроном, исполнительный директор","До 2004 года работал главным агрономом. Кроме основных функций работы агронома вёл научную работу, став соискателем на кафедре растениеводства. На полях учебного хозяйства руководил учебной практикой студентов. В 2004 году был назначен исполнительным директором, после введения конкурсного управления. Основным достижением является то ,что за год работы директором вывел хозяйство из состояния банкротства.",главный агроном
6,главный агроном,"Разработка и осуществление агротехнических мероприятий для обеспечения отрасли животноводства полноценными кормами.В 1986 году стал лучшим агрономом района, так как отрасль растениеводства хозяйства из отстающих стал лидером по всем показателям.",главный агроном
7,механик,Ремонт и наладка технологического оборудования,механик
7,наладчик технологического оборудования,Ремонт и наладка технологического оборудования,оператор технологического оборудования в сооружениях защищенного грунта
7,слесарь-ремонтник,"Ремонт и наладка упаковочного оборудования Ima, CAM.",слесарь по обслуживанию и ремонту оборудования
7,механик,"Наладка и ремонт швейных машин марок: Juki, Brother, Yamato, Special Union; ремонт раскройного оборудования: раскройных дисковых, сабельных, ленточных ножей.",механик
7,слесарь-ремонтник,"Ремонт\наладка\запуск в работу формовочного пневмооборудования, ламинирующего оборудования, гидравлических прессов, швейных машин\полуавтоматов , раскройного и т.п. оборудования.",слесарь по обслуживанию и ремонту оборудования
7,практикант,Обслуживание оборудования лёгкой промышленности.,"директор (генеральный директор, управляющий) предприятия"
8,тракторист-машинист,Все на совещании.,тракторист
9,мастер участка подготовки производства,"Деятельность по обеспечению производства необходимыми материалами работа с документами. Контроль работы персонала участка, ведение отчётности в том числе в 1С.",инженер по подготовке производства
9,инженер по эксплуатации холодильно-компрессорного оборудования,"-руководство участком холодильно-компрессорного оборудования

-составление планов работ по ремонту и обслуживанию оборудования, контроль их выполнения

-ведение документации сопутствующей работе компрессорного цеха

-конкурентный поиск, приобретение необходимых материалов и запасных частей, составление договоров на ремонт и поставку оборудования и расходных материалов

-ведение табелей учета рабочего времени

-аттестация в Ростехнадзоре А1.1 (промбезопасность) Б8.23(сосуды под давлением),Б1.7 (аммиачные холодильные установки) Г1.1 (электробезопасность)",инженер по комплектации оборудования
9,слесарь по обслуживанию и ремонту оборудования,"-контроль работы механического оборудования

-ремонт и настройка оборудования

-составление перечней оборудования нуждающегося в ремонте и замене

-ведение необходимой документации(журналы осмотра, приема-передачи смен, планово-предупредительных работ).",слесарь по обслуживанию и ремонту оборудования
9,старший мастер отк,"-котроль качества выпускаемой продукции

-сдача продукции уполномоченной организации

-контроль производственных процессов

-урегулирование претензий, в том числе с выездом к заказчику

-непосредственное управление коллективом ОТК

-ведение документооборота, табелей учета рабочего времени",мастер участка
9,старший оператор азс,"-прием и отпуск ГСМ

-поддержание в рабочем состоянии оборудования АЗС

-ведение документооборота (приход, расход, сверка остатков, ведение необходимых журналов, планирование необходимости закупок ГСМ)

-управление персоналом АЗС",оператор сушильных установок
9,кладовщик,"-прием и отпуск ТМЦ

-основное направление- автозапчасти, оборудование для производства, стройматериалы

-ведение документооборота (приход, расход, сверка остатков, ведение необходимых журналов)",кладовщик
10,"заведующий сектора отдела надзора в области обращения с животными, проведения мероприятий в сфере безопасности продукции животного происхождения, контроля за эпизоотическим мониторингом службы ветеринарии астраханской области - государственный инспектор","•	контролировать выполнение требований порядка осуществления деятельности по обращению с животными без владельцев на территории Астраханской области;
•	организовывать и проводить проверки выполнения юридическими лицами, индивидуальными предпринимателями и гражданами обязательных требований Федерального закона от 27.12.2018 № 498-ФЗ «Об ответственном обращении с животными и о внесении изменений в отдельные законодательные акты Российской Федерации», осуществления мероприятий по профилактике нарушений обязательных требований;
•	принимать меры предусмотренные законодательством Российской Федерации мер по пресечению и (или) устранению выявленных нарушений административного законодательства в установленной сфере;
•	оказывать методическую помощь органам местного самоуправления по вопросам осуществления отдельных государственных полномочий в соответствии с Законом Астраханской области Закон Астраханской области от 23.07.2013 № 32/2013-ОЗ «О наделении органов местного самоуправления муниципальных образований Астраханской области отдельным государственным полномочием Астраханской области по организации мероприятий при осуществлении деятельности по обращению с животными без владельцев;
•	анализировать мероприятия в сфере обращения с биологическими отходами в соответствии с ветеринарно-санитарными правилами сбора, утилизации и уничтожения биологических отходов,
•	проводить анализ осуществления ветеринарных мероприятий по вакцинациям, дегельминтизация, стерилизация, кастрация и т.д. организаций, осуществляющих услуги в области обращения с животными (в том числе без владельца);
•	направлять в уполномоченные органы материалы, связанные с нарушением законодательства Российской Федерации и иных нормативных правовых актов в области обращения с животными, для решения вопросов о возбуждении дел об административных правонарушениях или преступлений уголовного характера;
•	участвовать в отборе проб при подготовке сопроводительной документации и упаковке и систематизация результатов проведённых лабораторных исследований;
•	участвовать в установлении выявления причин, факторов и условий, способствующих причинению вреда охраняемым законом ценностям и нарушению обязательных требований в области ветеринарии, определение способов устранения или снижения рисков их возникновения;
•	выявлять и направлять информацию в территориальное управление Россельхознадзора о выявленных нарушениях ветеринарно-санитарных правил;
•	контролировать, учитывать и идентифицировать сельскохозяйственных животных;
•	осуществлять мониторинг работы государственных ветеринарных специалистов, государственных ветеринарных учреждений Астраханской области на курируемой территории, систематизация и обобщение данных о количестве выданных ветеринарных сопроводительных документах;
•	участвовать в формировании плана контроля качества и безопасности пищевых продуктов и сырья животного происхождения, хозяйствах всех форм собственности;
•	участвовать в установлении и отмене ограничительных мероприятий (карантина) на территории Астраханской области;
•	проверять наличие плана профилактических мероприятий ветеринарных учреждений Астраханской области на курируемой территории;
•	участвовать в рабочей группе по согласованию мест отбора проб производимой, поставляемой и реализуемой продукции животного происхождения
•	контролировать проведение сельскохозяйственных выставок, ярмарок и мероприятий на территории Астраханской области;
•	контролировать правильность оформления и обоснованность выдачи ветеринарных сопроводительных документов на продукцию животного происхождения (в том числе рыбу, рыбную продукцию, готовую продукцию промышленного изготовления), поступающей на территорию города Астрахани и области, сбор информации в районах области и города;
•	обобщать указанные в 1 абзаце настоящего пункта сведения, и представлять начальнику отдела в конце каждого месяца;
•	участвовать в выяснении причин допущенных нарушений при оформлении ветеринарных сопроводительных документов, подготавливать запросы в регионы Российской Федерации, за исполнением решений об использовании или уничтожении некачественной или опасной продукции;
•	осуществлять контроль за наличием и движением бланков ветеринарных сопроводительных документов, бланков документов по административным правонарушениям, ведение журнала учёта и движения;
•	вести учёт (внесение в информационную систему «Меркурий») бланков ветеринарных сопроводительных документов утерянных, похищенных, а также доведение данной информации до подведомственных учреждений службы ветеринарии;
•	принимать участие в работе комиссий по аттестации предприятий на получение права экспорта-импорта поднадзорной госветслужбе продукции;
",инспектор по контролю за исполнением поручений
10,ветеринарный врач,Проведение аудита в хозяйствах всех форм собственности,ветеринарный врач
10,главный специалист отдела противоэпизоотических мероприятий,"Принятие мер, направленных на недопущение заноса и распространения на территории республики инфекционных заболеваний, оборота небезопасных в ветеринарном отношении подконтрольных грузов , проведение рейдов в неустановленных местах торговли.ведение административной практики(составление протоколов, выдача предписаний)

Классный чин референт III класса.",главный металлург
