Должность,Должностные обязанности,Должен знать,Требования к квалификации
АДМИНИСТРАТОР,"Осуществляет работу по эффективному и культурному обслуживанию посетителей, созданию для них комфортных условий. Обеспечивает контроль за сохранностью материальных ценностей. Консультирует посетителей по вопросам, касающимся оказываемых услуг. Принимает меры по предотвращению и ликвидации конфликтных ситуаций. Рассматривает претензии, связанные с неудовлетворительным обслуживанием посетителей, проводит необходимые организационно-технические мероприятия. Осуществляет контроль за соответствующим оформлением помещений, следит за размещением, обновлением и состоянием рекламы внутри помещения и на здании. Обеспечивает чистоту и порядок в помещении и на прилегающей к нему или зданию территории. Контролирует соблюдение подчиненными работниками трудовой и производственной дисциплины, правил и норм охраны труда, требований производственной санитарии и гигиены. Информирует руководство об имеющихся недостатках в обслуживании посетителей, принимаемых мерах по их ликвидации. Обеспечивает исполнение работниками указаний руководства предприятия, учреждения, организации.","постановления, распоряжения, приказы, другие руководящие и нормативные документы вышестоящих органов, касающиеся работы предприятия, учреждения, организации; структуру управления, права и обязанности работников и режим их работы; правила и методы организации обслуживания посетителей; виды оказываемых услуг; основы экономики, организации труда и управления; основы маркетинга и организации рекламы; планировку и порядок оформления помещений и витрин; основы эстетики и социальной психологии; законодательство о труде; правила внутреннего трудового распорядка; правила и нормы охраны труда.",Среднее профессиональное образование без предъявления требований к стажу работы или начальное профессиональное образование и стаж работы по специальности не менее 2 лет.
АНАЛИТИК,"Организует аналитическое и методическое обеспечение проведения исследовательских работ. Проводит аналитическую и научно-исследовательскую работу с целью сбора, оценки и анализа получаемой информации, а также выработки практических рекомендаций. Осуществляет мониторинг публикаций, в том числе в российских и зарубежных средствах массовой информации, дает им оценку. Составляет необходимую отчетную документацию. Координирует деятельность соисполнителей при совместном выполнении работ с другими структурными подразделениями организации.","законы и иные нормативные правовые акты в области осуществления аналитической деятельности; порядок выработки практических рекомендаций; методы сбора, оценки и анализа информации; основы организации труда; основы трудового законодательства; правила по охране труда.","Аналитик I категории: высшее профессиональное образование и стаж работы по направлению профессиональной деятельности не менее 10 лет, в том числе в должности аналитика II категории не менее 5 лет.
Аналитик II категории: высшее профессиональное образование и стаж работы по направлению профессиональной деятельности не менее 5 лет, в том числе в должности аналитика не менее 2 лет.
Аналитик: высшее профессиональное образование без предъявления требований к стажу работы."
АУДИТОР,"Оказывает бухгалтерские услуги, связанные с различными аспектами бизнеса. Проводит анализ финансовой деятельности учреждения, организации, предприятия независимо от форм собственности. Осуществляет ревизию бухгалтерских документов и отчетности, оценивает ее достоверность, а также внутренний и внешний контроль законности совершаемых финансовых операций, соответствия их законодательным и нормативным правовым актам, соблюдения установленного порядка налогообложения. Дает необходимые рекомендации с целью предупреждения просчетов и ошибок, которые могут повлечь штрафные и другие санкции, снизить прибыль и отрицательно повлиять на репутацию предприятия, учреждения, организации. Консультирует юридические и физические лица по вопросам хозяйственной и финансовой деятельности, бухгалтерской отчетности, проблемам налогообложения, действующего порядка оспаривания незаконно предъявленных исков и другим вопросам, входящим в его компетенцию. Участвует в рассмотрении исков о неплатежеспособности (банкротстве) в арбитражных судах. Следит за изменениями и дополнениями в нормативных правовых документах, принимает меры по согласованию интересов государства и клиентов.","законодательные и нормативные правовые акты, методические материалы, касающиеся производственной и хозяйственной деятельности предприятия, учреждения, организации; рыночные методы хозяйствования, закономерности и особенности развития экономики; трудовое, финансовое, налоговое и хозяйственное законодательство; порядок ведения бухгалтерского учета и составления отчетности; методы анализа хозяйственно-финансовой деятельности предприятия, учреждения, организации; правила проведения проверок и документальных ревизий; денежное обращение, кредит, порядок ценообразования; условия налогообложения юридических и физических лиц; правила организации и ведения бизнеса; этику делового общения; экономику, организацию производства, труда и управления; порядок оформления финансовых операций и организацию документооборота; действующие формы учета и отчетности; правила и нормы охраны труда.","Высшее профессиональное (экономическое) образование и дополнительная специальная подготовка, стаж бухгалтерской работы не менее 3 лет или среднее профессиональное (экономическое) образование и дополнительная специальная подготовка, стаж бухгалтерской работы не менее 5 лет."
АУКЦИОНИСТ,"Участвует в определении качества и оценке стоимости движимого и недвижимого имущества, представляемого на аукционные торги для продажи товара (личного домашнего имущества, автомобилей, произведений искусства, ювелирных изделий, драгоценных камней, а также акций, сырья, промышленного оборудования, домашнего скота и т.п.). Продает с аукциона товары от имени клиента или предприятия, учреждения, организации различных форм собственности. Ведет процедуру аукционных торгов, устанавливая возрастающую цену продажи. Изучает конъюнктуру рынка, спрос на движимое и недвижимое имущество. Участвует в проведении залоговых аукционов, инвестиционных конкурсов, экспертизы поступающих на аукционные торги товаров. Консультирует физические и юридические лица по вопросам, входящим в его компетенцию. Участвует в обсуждении порядка и условий продажи. Оформляет документы, в том числе финансовые, и установленную отчетность.","законодательные акты, нормативные и методические материалы, регламентирующие права на движимое и недвижимое имущество; рыночные методы хозяйствования, закономерности и особенности развития экономики; конъюнктуру внутреннего и внешнего рынка; этику делового общения; товароведение, материаловедение, искусствоведение; требования, предъявляемые к участникам инвестиционного конкурса, торгов, аукционов, к товарам, поступающим на продажу; организацию и порядок проведения инвестиционных конкурсов, аукционных торгов и залоговых аукционов; правила составления аукционных каталогов; основы социальной психологии; методы анализа конъюнктуры и тенденций развития внутреннего и внешнего рынка и установления качества и стоимости продаваемых товаров; порядок составления и оформления необходимых документов и установленной отчетности; гражданское и трудовое законодательство; правила и нормы охраны труда.","Высшее профессиональное образование и дополнительная специальная подготовка без предъявления требований к стажу работы или среднее профессиональное образование и дополнительная специальная подготовка, стаж работы по специальности не менее 2 лет."
БИРЖЕВОЙ МАКЛЕР,"Оказывает посреднические услуги при заключении коммерческих, кредитных, валютных, страховых и других сделок, осуществляемых на биржах. Обеспечивает сокращение срока реализации сделки, получение максимального дохода, ускорение оборота капитала, активизацию производственной, инвестиционной и инновационной деятельности. Изучает коммерческую информацию, качественные характеристики сырья, оборудования, продукции и услуг, являющихся предметом сделки, а также финансовое положение и деловую репутацию ее участников. Анализирует конъюнктуру внутреннего и внешнего рынка, информацию о продаваемых товарах и услугах, требования покупателей, прогнозирует изменения цен и спроса на куплю-продажу недвижимости (квартир, жилых домов, земли, садовых участков и т.п.). Ведет переговоры с клиентами о заключении договоров, осмотр объектов купли-продажи, оценивает стоимость недвижимого и другого имущества. Участвует в экспертизе и проверке качества сырья, материалов, продукции и других объектов сделки, определении и согласовании цены, условий купли-продажи и ее оформлении. Выполняет работу, связанную с привлечением клиентов, а также специалистов и вспомогательного персонала, необходимых при осуществлении сделок, с повышением репутации как независимого посредника, так и биржи, от имени которой совершается сделка. Обеспечивает соответствие заключаемых договоров правовым нормам, надлежащее оформление необходимых документов согласно установленным требованиям.","законодательные акты, нормативные и методические материалы, касающиеся коммерческой деятельности; рыночные методы хозяйствования, закономерности и особенности развития экономики; правила организации и ведения бизнеса; виды биржевых сделок; навыки делового общения; методы изучения конъюнктуры рынка, его потенциала и тенденций развития; организацию деловых контактов и биржевых сделок; основы социальной психологии; методы определения качества и порядок установления цен на сырье, оборудование, продукцию, имущество, услуги; правила определения размера комиссионных выплат по заключаемым договорам; порядок составления документации при оформлении сделок; гражданское и трудовое законодательство; правила и нормы охраны труда.","Высшее профессиональное образование и дополнительная специальная подготовка без предъявления требований к стажу работы или среднее профессиональное образование и дополнительная специальная подготовка, стаж работы по специальности не менее 2 лет."
БРОКЕР,"Покупает и продает партии товара на аукционах, рынках наличного товара или срочного рынка товаров, а также ценных бумаг и финансовых документов, в том числе иностранной валюты, коммерческих услуг (кредит, заключение трудовых договоров и контрактов, транспортные услуги, продажа недвижимости, грузовые перевозки, организация рекламы и т.п.). Устанавливает деловые контакты между покупателями и продавцами товаров, заказчиками и оказывающими услуги. Обеспечивает своевременную и на наиболее выгодных условиях продажу или покупку товара, заключение договоров на оказание услуг. Изучает конъюнктуру внутреннего и внешнего рынка, потребительские свойства товаров, надежность ценных бумаг, требования участников сделки при покупке или продаже товаров, предоставлении услуг, а также при заключении коммерческих (валютных, кредитных) биржевых сделок, различных по степени доверия (договор комиссии, договор поручения). Посещает торги и аукционы, обеспечивает представление необходимых данных для подготовки аукционных каталогов, своевременное установление от имени клиента цены продажи и ее изменение, а также суммы сделки. Ведет переговоры о покупке или продаже по частному соглашению не проданных на аукционе товаров. Организует транспортировку товара, устанавливает стоимость доставки и оформляет взимание ее стоимости с клиента. Выполняет расчетно-аналитические операции и работы по регистрации и оформлению биржевых документов, формулирует содержание заявки. Консультирует клиентов по вопросам, относящимся к его компетенции. Руководит работой подчиненных ему агентов.","законодательные акты, нормативные и методические материалы, касающиеся торгово-экономической деятельности; рыночные методы хозяйствования, закономерности и особенности развития экономики; конъюнктуру внутреннего и внешнего рынка; профиль биржи, брокерской конторы, другого предприятия, учреждения, организации; виды биржевых сделок; правила ведения переговоров об условиях покупки или продажи товара, оказания услуги; порядок установления цены товара (услуги), его оплаты и доставки; организацию торговли, рекламной деятельности, проведения инвестиционных конкурсов, торгов и аукционов; правила составления аукционных каталогов; основы социальной психологии; требования, предъявляемые к товару (услуге); порядок заключения договоров, составления и оформления необходимых документов, установленной отчетности, подготовки информации о продаваемом товаре, оказываемой услуге; организацию труда и управления; гражданское и трудовое законодательство; правила и нормы охраны труда.",Высшее профессиональное (экономическое) образование без предъявления требований к стажу работы или среднее профессиональное (экономическое) образование и стаж работы по специальности не менее 2 лет.
БРОКЕР ТОРГОВЫЙ,"Совершает гражданско-правовые сделки с различного рода товарами от своего имени или по поручению клиентов на основании заключенного с ними договора поручения или договора комиссии. Выполняет поручения клиентов в порядке их поступления, на наиболее выгодных для них условиях. Покупает и продает партии товаров на аукционах, рынках наличного товара или срочного рынка, торгах. Устанавливает деловые контакты с покупателями или продавцами товаров для обеспечения выгодной его продажи или покупки. Сообщает клиентам о совершенных сделках посредством составления брокерских записок. Изучает конъюнктуру рынка, потребительские свойства товаров, требования участников сделки относительно покупки или продажи товаров или заключения коммерческих биржевых сделок различной степени доверия (договор комиссии, договор поручения). Посещает торги и аукционы, обеспечивает предоставление необходимых данных для составления аукционных каталогов, а также установление от имени клиентов цены продажи, ее изменение и суммы сделки. Выполняет расчетно-аналитические операции, а также операции, связанные с регистрацией и оформлением биржевых документов, формулирует содержание брокерских заявок. Консультирует клиентов по вопросам, относящимся к его компетенции. Руководит работой подчиненных ему агентов.","законодательные акты, нормативные и методические материалы, касающиеся деятельности биржи, брокерской конторы; рыночные методы хозяйствования, закономерности и особенности развития экономики; конъюнктуру внутреннего и внешнего рынка; профиль биржи, брокерской конторы; виды биржевых сделок; правила ведения переговоров об условиях покупки или продажи товара; порядок установления цены товара и оплаты; организацию торговли, рекламной деятельности, проведения торгов и аукционов; правила составления аукционных каталогов; основы социальной психологии; требования, предъявляемые к товарам; порядок заключения договоров; составления и оформления необходимых документов, установленной отчетности, подготовки информации о продаваемых товарах; основы страхования; организацию труда и управления; гражданское и трудовое законодательство; правила и нормы охраны труда.",Высшее профессиональное (экономическое) образование без предъявления требований к стажу работы или среднее профессиональное (экономическое) образование и стаж работы по специальности не менее 2 лет.
БУХГАЛТЕР,"Выполняет работу по ведению бухгалтерского учета имущества, обязательств и хозяйственных операций (учет основных средств, товарно-материальных ценностей, затрат на производство, реализации продукции, результатов хозяйственно-финансовой деятельности, расчеты с поставщиками и заказчиками, а также за предоставленные услуги и т.п.). Участвует в разработке и осуществлении мероприятий, направленных на соблюдение финансовой дисциплины и рациональное использование ресурсов. Осуществляет прием и контроль первичной документации по соответствующим участкам бухгалтерского учета и подготавливает их к счетной обработке. Отражает на счетах бухгалтерского учета операции, связанные с движением основных средств, товарно-материальных ценностей и денежных средств. Составляет отчетные калькуляции себестоимости продукции (работ, услуг), выявляет источники образования потерь и непроизводительных затрат, подготавливает предложения по их предупреждению. Производит начисление и перечисление налогов и сборов в федеральный, региональный и местный бюджеты, страховых взносов в государственные внебюджетные социальные фонды, платежей в банковские учреждения, средств на финансирование капитальных вложений, заработной платы рабочих и служащих, других выплат и платежей, а также отчисление средств на материальное стимулирование работников предприятия. Обеспечивает руководителей, кредиторов, инвесторов, аудиторов и других пользователей бухгалтерской отчетности сопоставимой и достоверной бухгалтерской информацией по соответствующим направлениям (участкам) учета. Разрабатывает рабочий план счетов, формы первичных документов, применяемые для оформления хозяйственных операций, по которым не предусмотрены типовые формы, а также формы документов для внутренней бухгалтерской отчетности, участвует в определении содержания основных приемов и методов ведения учета и технологии обработки бухгалтерской информации. Участвует в проведении экономического анализа хозяйственно-финансовой деятельности предприятия по данным бухгалтерского учета и отчетности в целях выявления внутрихозяйственных резервов, осуществления режима экономии и мероприятий по совершенствованию документооборота, в разработке и внедрении прогрессивных форм и методов бухгалтерского учета на основе применения современных средств вычислительной техники, в проведении инвентаризаций денежных средств и товарно-материальных ценностей. Подготавливает данные по соответствующим участкам бухгалтерского учета для составления отчетности, следит за сохранностью бухгалтерских документов, оформляет их в соответствии с установленным порядком для передачи в архив. Выполняет работы по формированию, ведению и хранению базы данных бухгалтерской информации, вносит изменения в справочную и нормативную информацию, используемую при обработке данных. Участвует в формулировании экономической постановки задач либо отдельных их этапов, решаемых с помощью вычислительной техники, определяет возможность использования готовых проектов, алгоритмов, пакетов прикладных программ, позволяющих создавать экономически обоснованные системы обработки экономической информации.","законодательные акты, постановления, распоряжения, приказы, руководящие, методические и нормативные материалы по организации бухгалтерского учета имущества, обязательств и хозяйственных операций и составлению отчетности; формы и методы бухгалтерского учета на предприятии; план и корреспонденцию счетов; организацию документооборота по участкам бухгалтерского учета; порядок документального оформления и отражения на счетах бухгалтерского учета операций, связанных с движением основных средств, товарно-материальных ценностей и денежных средств; методы экономического анализа хозяйственно-финансовой деятельности предприятия; правила эксплуатации вычислительной техники; экономику, организацию труда и управления; рыночные методы хозяйствования; законодательство о труде; правила и нормы охраны труда.","Бухгалтер I категории: высшее профессиональное (экономическое) образование и стаж работы в должности бухгалтера II категории не менее 3 лет.
Бухгалтер II категории: высшее профессиональное (экономическое) образование без предъявления требований к стажу работы или среднее профессиональное (экономическое) образование и стаж работы в должности бухгалтера не менее 3 лет.
Бухгалтер: среднее профессиональное (экономическое) образование без предъявления требований к стажу работы или специальная подготовка по установленной программе и стаж работы по учету и контролю не менее 3 лет.
"
БУХГАЛТЕР-РЕВИЗОР,"Осуществляет в соответствии с действующими положениями и инструкциями плановые и по специальным заданиям документальные ревизии хозяйственно-финансовой деятельности предприятий по ведению бухгалтерского учета имущества, обязательств и хозяйственных операций, а также их подразделений, находящихся на самостоятельном балансе. Своевременно оформляет результаты ревизии и представляет их в соответствующие инстанции для принятия необходимых мер. Дает оперативные указания руководителям ревизуемого объекта об устранении выявленных нарушений и недостатков, проведении контрольных проверок выполненных работ. Контролирует достоверность учета поступающих основных средств, товарно-материальных ценностей и денежных средств, своевременное отражение на счетах бухгалтерского учета операций, связанных с их движением, правильность расходования материалов, топлива, электроэнергии, денежных средств, соблюдения смет расходов, порядок составления отчетности на основе первичных документов, а также организацию проведения инвентаризаций и бухгалтерского учета в подразделениях предприятия, а также соблюдение сроков перечисления налогов и сборов и выплаты заработной платы. Участвует в разработке и осуществлении мер, направленных на повышение эффективности использования финансовых средств, усиление контроля за хозяйственно-финансовой деятельностью предприятия, обеспечение сохранности собственности предприятия и правильной организации бухгалтерского учета. Принимает необходимые меры по использованию в работе современных технических средств. Контролирует деятельность работников предприятия по вопросам ведения бухгалтерского учета и отчетности.","законодательные акты, постановления, распоряжения, приказы, руководящие, методические и нормативные материалы по организации бухгалтерского учета и составлению отчетности; формы и методы бухгалтерского учета и анализа хозяйственной деятельности на предприятии; порядок проведения документальных ревизий и проверок, правильности ведения бухгалтерского учета имущества, обязательств и хозяйственных операций; организацию документооборота и порядок документального оформления и отражения на счетах бухгалтерского учета операций, связанных с движением основных средств, товарно-материальных ценностей и денежных средств; план и корреспонденцию счетов; финансовое и хозяйственное законодательство; экономику, организацию производства, труда и управления; рыночные методы хозяйствования; правила эксплуатации вычислительной техники; законодательство о труде; правила и нормы охраны труда.","Бухгалтер-ревизор I категории: высшее профессиональное (экономическое) образование и стаж работы в должности бухгалтера-ревизора II категории не менее 3 лет.
Бухгалтер-ревизор II категории: высшее профессиональное (экономическое) образование без предъявления требований к стажу работы или среднее профессиональное (экономическое) образование и стаж работы в должности бухгалтера-ревизора не менее 3 лет.
Бухгалтер-ревизор: среднее профессиональное (экономическое) образование без предъявления требований к стажу работы или специальная подготовка по установленной программе и стаж работы по учету и контролю не менее 3 лет."
ДИЛЕР,"Обеспечивает развитие взаимосвязей с потребителями товаров, выявляет и формирует спрос на услуги, выполняет работу по покупке или продаже товаров оптом (немедленной или срочной), акций, облигаций, других финансовых документов и ценных бумаг, включая иностранную валюту, по предоставлению кредитно-денежных и других услуг. Изучает конъюнктуру и тенденции развития рынка, цены и спрос на товары и предоставляемые услуги, выясняет запросы и мнения потребителей о них. Покупает и продает на рынке наличного товара или срочном рынке от имени учреждения, организации, предприятия либо от имени клиента. Разъясняет покупателям преимущества определенного вида товаров или услуг в сравнении с другими, аналогичными им. Подготавливает необходимые документы по купле-продаже, на получаемые и отправляемые товары, а также для заключения договоров с юридическими и физическими лицами. Анализирует информацию о надежности клиентов и компаний, участвующих в инвестиционной деятельности, особенности и ожидаемые изменения товарного и финансового рынков, консультирует клиентов о состоянии и перспективах их развития. Способствует сокращению сроков реализации товаров и предоставления услуг, увеличению объема продаж, числа клиентов, в том числе постоянных, систематически обращающихся за товаром либо услугой, улучшению качества обслуживания клиентов, расширению услуг, сокращению транспортных затрат. Изучает поступающие жалобы на продаваемый товар и предоставляемые услуги, принимает меры по предупреждению их возникновения, а также случаев причинения клиентам материального ущерба. Обеспечивает соблюдение действующих стандартов и норм по организации хранения, сбыта и транспортировки товара, а также принятие мер по совершенствованию (ускорению) сбытовых операций. Организует широкое использование в работе технических средств и каналов связи - компьютерной техники, телефонов, факсов и др. Участвует в организации рекламы, пропаганде достоинств продаваемого товара, его потребительских свойств, преимуществ предлагаемых услуг, в подготовке образцов товаров (рисунков, фотографий, муляжей), описаний услуг. Прогнозирует возможное расширение внутреннего и внешнего рынка предлагаемых товаров и предоставляемых услуг. Обеспечивает сохранность коммерческой тайны. Руководит работой подчиненных ему агентов.","законодательные акты, нормативные и методические материалы, касающиеся торговой и финансово-банковской деятельности; рыночные методы хозяйствования, закономерности и особенности развития экономики; направления деятельности конторы, биржи, банка, другого предприятия, учреждения, организации; методы изучения и прогнозирования спроса на реализуемый товар и оказываемые услуги; перспективы развития торговли и финансово-банковской системы; организацию торговли; правила оформления заключаемых договоров; порядок установления связей с потребителями товаров и услуг; организацию деловых контактов и рекламной деятельности; потребительские свойства товаров, правила хранения, сроки и условия их реализации; достоинства и преимущества различного вида услуг; организацию труда и управления; технические средства отображения, обработки и передачи информации; гражданское и трудовое законодательство; правила и нормы охраны труда.",Высшее профессиональное (экономическое или юридическое) образование без предъявления требований к стажу работы или среднее профессиональное (экономическое или юридическое) образование и стаж работы по специальности не менее 2 лет.
